都道府県名,Prefecture,番号
全国,ALL,0
北海道,Hokkaido,01
青森,Aomori,02
岩手,Iwate,03
宮城,Miyagi,04
秋田,Akita,05
山形,Yamagata,06
福島,Fukushima,07
茨城,Ibaraki,08
栃木,Tochigi,09
群馬,Gunma,10
埼玉,Saitama,11
千葉,Chiba,12
東京,Tokyo,13
神奈川,Kanagawa,14
新潟,Niigata,15
富山,Toyama,16
石川,Ishikawa,17
福井,Fukui,18
山梨,Yamanashi,19
長野,Nagano,20
岐阜,Gifu,21
静岡,Shizuoka,22
愛知,Aichi,23
三重,Mie,24
滋賀,Shiga,25
京都,Kyoto,26
大阪,Osaka,27
兵庫,Hyougo,28
奈良,Nara,29
和歌山,Wakayama,30
鳥取,Tottori,31
島根,Shimane,32
岡山,Okayama,33
広島,Hiroshima,34
山口,Yamaguchi,35
徳島,Tokushima,36
香川,Kagawa,37
愛媛,Ehime,38
高知,Kochi,39
福岡,Fukuoka,40
佐賀,Saga,41
長崎,Nagasaki,42
熊本,Kumamoto,43
大分,Oita,44
宮崎,Miyaxaki,45
鹿児島,Kagoshima,46
沖縄,Okinawa,47